Tenure_Years,Total_Amount,total_renewal_score_new,sustainability_score,anchoring_score,Current_Anchorings,Call_Direction,Renewal_Impact_Due_to_Price_Increase,Band,prospect_outcome,score_per_tenure,is_low_tenure,score_category,label,churn_probability,prediction
2,666.2,31.5,8.0,7.5,0,OUT_BOUND,No,Band C1,1,10.5,1,Medium,1,0.9990395,1
6,542.0,32.5,8.0,7.5,0,OUT_BOUND,No,Band C2,1,4.642857142857143,0,Medium,1,0.99934286,1
8,1159.0,33.0,8.0,7.5,0,OUT_BOUND,No,Band D,1,3.6666666666666665,0,Medium,1,0.9965569,1
5,799.0,32.5,8.0,7.5,0,OUT_BOUND,No,Band C1,1,5.416666666666667,0,Medium,1,0.9899866,1
10,1349.0,33.0,8.0,7.5,0,OUT_BOUND,No,Band E,1,3.0,0,Medium,1,0.9835735,1
3,949.0,32.0,8.0,7.5,0,OUT_BOUND,No,Band C1,1,8.0,1,Medium,1,0.9877511,1
6,949.0,33.5,8.0,7.5,0,Inbound,No,Band C2,1,4.785714285714286,0,Medium,1,0.8740396,1
17,954.2,33.0,8.0,7.5,0,Inbound,Yes,Band D,1,1.8333333333333333,0,Medium,1,0.9438235,1
0,2249.0,40.0,8.0,7.5,0,Outbound,No,Band G,1,40.0,1,Medium,1,0.76270926,1
9,1519.2,33.0,8.0,7.5,0,OUT_BOUND,No,Band F1,1,3.3,0,Medium,1,0.99650866,1
4,799.0,32.0,8.0,7.5,0,OUT_BOUND,No,Band C1,1,6.4,0,Medium,1,0.9976821,1
5,599.0,39.5,8.0,7.5,0,IN_BOUND,No,Band B,1,6.583333333333333,0,Medium,1,0.33918566,0
10,542.0,33.0,8.0,7.5,0,OUT_BOUND,No,Band C2,1,3.0,0,Medium,1,0.9974189,1
3,449.0,32.0,8.0,7.5,0,OUT_BOUND,No,Band B,1,8.0,1,Medium,1,0.99462503,1
18,374.0,33.0,8.0,7.5,0,OUT_BOUND,Yes,Band B,1,1.736842105263158,0,Medium,1,0.9993135,1
2,826.2,40.5,8.0,7.5,0,IN_BOUND,No,Band C1,1,13.5,1,Medium,1,0.63095695,1
2,449.0,31.5,8.0,7.5,0,Outbound,Yes,Band B,1,10.5,1,Medium,1,0.99547297,1
4,349.0,32.0,8.0,7.5,0,OUT_BOUND,Yes,Band B,1,6.4,0,Medium,1,0.9998166,1
4,583.0,33.0,8.0,7.5,0,OUT_BOUND,No,Band B,1,6.6,0,Medium,1,0.99790585,1
2,2169.0,31.5,8.0,7.5,0,OUT_BOUND,Yes,Band F2,1,10.5,1,Medium,1,0.99871755,1
5,684.0,33.5,8.0,7.5,0,OUT_BOUND,Yes,Band B,1,5.583333333333333,0,Medium,1,0.99093235,1
2,704.0,31.5,8.0,7.5,0,OUT_BOUND,No,Band B,1,10.5,1,Medium,1,0.99888545,1
11,527.0,33.0,8.0,7.5,0,OUT_BOUND,No,Band C1,1,2.75,0,Medium,1,0.98862994,1
10,1279.0,34.0,8.0,7.5,0,OUT_BOUND,No,Band D,1,3.090909090909091,0,Medium,1,0.97336876,1
1,1623.2,33.0,8.0,9.5,3,OUT_BOUND,No,Band F2,1,16.5,1,Medium,1,0.99357504,1
0,935.8,42.0,8.0,9.5,3,OUT_BOUND,No,Band D,1,42.0,1,Medium,1,0.8766086,1
