column,test,type,null_pct,n_categories,chi2_statistic,degrees_of_freedom,p_value,significant,strength_score,top_win_rate_categories,bottom_win_rate_categories,won_mean,churned_mean,t_statistic
Band,chi-squared,categorical,0.0,13.0,138.0986,12.0,0.0,True,100,"{'Band I': 100.0, 'Group': 94.6, 'Band F1': 89.0}","{'Band A': 84.2, 'Band J': 82.1, 'Band B': 81.3}",,,
Monetary_Price_Increase_Mentioned,t-test (Welch),numeric,0.0,,,,0.0,True,94,,,0.0534,0.0284,-6.2585
Percentage_Price_Increase_Mentioned,t-test (Welch),numeric,0.0,,,,0.0,True,100,,,0.0114,0.0009,-9.4738
Price_Switching_Mentioned,t-test (Welch),numeric,0.0,,,,0.0,True,100,,,0.0323,0.0914,9.4409
Agent_Flagged_Membership_Status_Alert,t-test (Welch),numeric,0.0,,,,0.0,True,100,,,0.7008,0.5235,-15.7819
Renewal_Impact_Due_to_Price_Increase,t-test (Welch),numeric,0.0,,,,0.0,True,100,,,0.0361,0.2786,25.3095
Mentioned_Competitors,chi-squared,categorical,0.0,3.0,320.4775,2.0,0.0,True,100,"{'No': 87.2, 'Yes': 69.2}","{'No': 87.2, 'Yes': 69.2}",,,
Customer_Asked_For_Justification,t-test (Welch),numeric,0.0,,,,0.0,True,98,,,0.0896,0.055,-6.4042
Proforma_Membership_Status,chi-squared,categorical,0.0,4.0,617.3908,3.0,0.0,True,100,"{'Accredited': 90.3, 'In Progress': 82.3, 'Member Only': 74.5}","{'In Progress': 82.3, 'Member Only': 74.5, 'Unknown': 14.3}",,,
Proforma_Account_Stage,chi-squared,categorical,0.0,6.0,764.8182,5.0,0.0,True,100,"{'Suspended': 91.4, 'Published': 90.1, 'Renewal Process': 89.0}","{'Membership Only': 73.8, 'Vetting': 67.1, 'Unknown': 14.3}",,,
Proforma_World_Pay_Token,chi-squared,categorical,0.0,3.0,60.5286,2.0,0.0,True,100,"{'true': 86.3, 'false': 85.5, 'Unknown': 14.3}","{'true': 86.3, 'false': 85.5, 'Unknown': 14.3}",,,
